,Batch_Num,Metric1,Thickness1,Thickness2,Metric2,Metric3,Metric4,Metric5,Metric6,Yield1,Width1,Length1,Metric7,Metric8,Metric9,Yield2,Width2,Length2,Metric10
26,27,3067.35,2456.33,2257.1667,1437.9565,1.4918,106.34,0.1203,1.486,0.9587,206.4033,68.0333,14.8136,419.0913,9.8198,0.9567,196.5835,64.2828,12.4222
27,28,2988.99,2607.63,2223.0333,1533.9934,1.3548,109.7067,0.1211,1.5582,0.9572,199.6076,62.8889,5.7692,405.8875,10.215,0.9715,189.3926,64.2529,12.4231
28,29,2972.78,2431.57,2190.4889,1059.4389999999999,0.8614,102.1178,0.1216,1.5438,0.9589,206.4436,66.1667,11.3083,403.4278,9.7745,0.9574,196.6691,64.1968,12.5473
29,30,2981.85,2529.11,2180.3778,1208.7411,1.2998,100.2789,0.1209,1.42,0.9620000000000001,198.7199,65.6333,6.8715,414.1525,8.6625,0.9629,190.0574,64.1668,12.5473
30,31,2975.88,2489.7,2191.6667,1153.9011,1.2569,100.6767,0.121,1.4481,0.9515,199.6605,68.6444,7.3997,422.9413,9.8631,0.9596,189.7974,74.7081,12.4222
31,32,3058.61,2492.36,2180.3778,1208.7411,1.2998,100.2789,0.1209,1.5602,0.9595,206.5154,65.3667,11.3994,417.3887,9.75,0.9582,196.7655,64.485,12.5473
32,33,3047.19,2524.18,2197.3111,969.8910000000001,1.3015,105.3911,0.1201,1.5837,0.9581,199.4722,62.6667,11.6646,414.2214,9.7447,0.972,189.7275,64.0917,12.4222
33,34,2981.31,2566.35,2197.3111,969.8910000000001,1.3015,105.3911,0.1201,1.5047,0.9721,199.2977,65.4556,9.5945,417.11400000000003,9.672,0.9726,189.6257,64.1536,12.4278
34,35,2963.83,2457.64,2225.1777,1457.7934,1.2414,110.2789,0.1211,1.5374,0.9757,199.5802,66.8889,7.202999999999999,419.3116,9.6398,0.9651,189.9403,64.2529,12.5473
35,36,3040.72,2477.35,2191.6667,1153.9011,1.2569,100.6767,0.121,1.3475,0.9517,200.1074,66.4778,4.5248,400.7535,10.4472,0.9715,189.6602,64.3085,12.2749
36,37,2989.47,2445.44,2223.1667,1522.5535,1.1981,110.6333,0.121,1.5316,0.9614,199.2808,65.2667,7.4758,422.0675,10.499,0.9758,188.7817,64.1668,12.4231
37,38,2981.54,2302.46,2221.8445,1416.8211,1.1758,111.6278,0.121,1.44,0.9651,199.6613,65.2222,5.803999999999999,410.4105,9.4864,0.9629,190.1748,64.1668,12.4231
38,39,2958.09,2542.24,2222.6778,1547.6125,1.4431,110.5644,0.1211,1.4780000000000002,0.9665,199.6664,68.3222,5.4971,409.9835,9.7739,0.9731,189.8925,64.1114,12.5724
39,40,3017.21,2530.67,2169.4667,1185.4449,1.2412,100.8444,0.1221,1.5335,0.9605,200.1657,70.5111,5.2868,420.1729,9.8035,0.9696,190.3622,74.7081,12.4622
40,41,2962.14,2545.71,2221.5778,1503.6229999999998,1.1878,111.3444,0.1211,1.5424,0.9691,198.7302,63.5111,6.4395,417.85,9.5543,0.9729,189.1758,64.4425,12.5473
41,42,3017.1,2517.18,2180.3778,1208.7411,1.2998,100.2789,0.1209,1.4652,0.9534,200.0984,64.1778,5.7909,403.6371,10.0255,0.9620000000000001,190.0729,64.0172,12.4222
42,43,3021.26,2503.46,2180.3778,1208.7411,1.2998,100.2789,0.1209,1.5042,0.9542,199.8881,62.2889,5.109,406.9902,10.0005,0.9623,189.8876,64.1871,12.4222
43,44,3000.36,2748.67,2174.8666,1039.2291,1.0455,103.6,0.1221,1.5337,0.9617,193.9873,69.0,5.5022,407.3229,10.193999999999999,0.9714,183.7933,64.7132,12.2939
44,45,3047.78,2490.71,2166.5222,907.0746,1.0647,104.5211,0.1221,1.5764,0.9611,202.1342,60.8444,5.3695,414.0669,10.1081,0.9670000000000001,192.0261,64.4425,12.4871
45,46,2912.87,2446.25,2166.5222,907.0746,1.0647,104.5211,0.1221,1.5336,0.9625,201.7858,69.0667,5.1046,408.7597,10.0934,0.9679,191.6925,64.7132,12.4871
46,47,3076.38,2475.53,2166.5222,907.0746,1.0647,104.5211,0.1221,1.4919,0.9493,200.0401,63.1333,13.9864,420.1404,10.6454,0.9748,189.3948,64.3732,12.4871
47,48,3055.97,2788.4,2166.5222,907.0746,1.0647,104.5211,0.1221,1.5179,0.948,199.9997,61.8667,5.1376,421.5875,9.7465,0.9668,190.2532,64.2199,12.4871
48,49,2993.59,2345.95,2169.4667,1185.4449,1.2412,100.8444,0.1221,1.5533,0.9606,199.3216,69.0667,7.359,416.8137,9.7807,0.9695,189.5409,74.7081,12.4622
49,50,2946.86,2533.91,2174.8666,1039.2291,1.0455,103.6,0.1221,1.5516,0.9487,195.9192,69.5556,4.7895,406.4293,10.2702,0.9684,185.649,64.2234,12.4871
50,51,2942.31,2446.74,2172.9778,1222.6067,1.3658,101.84,0.122,1.5717,0.9620000000000001,201.4822,68.3556,6.5073,418.8194,10.0409,0.9678,191.4413,74.7081,12.4622
51,52,2993.14,2520.21,2180.6778,1230.6762,1.4095,103.3778,0.1205,1.5277,0.9453,200.4381,64.4222,16.5926,426.847,10.2057,0.9663,190.2324,64.3732,12.4871
52,53,2938.41,2466.78,2166.5222,907.0746,1.0647,104.5211,0.1221,1.4709999999999999,0.9493,196.472,67.2667,3.5131,397.7444,10.7124,0.9685,185.7595,64.7132,12.4871
53,54,3058.98,2484.31,2172.9778,1222.6067,1.3658,101.84,0.122,1.5321,0.9527,200.0029,64.0778,13.4387,422.3048,10.6441,0.9768,189.3587,64.1536,12.4278
54,55,2950.46,2398.44,2180.6778,1230.6762,1.4095,103.3778,0.1205,1.6486,0.9453,200.4054,62.3667,5.3316,422.2173,10.3876,0.9682,190.0178,64.229,12.4871
55,56,3060.03,2809.79,2166.5222,907.0746,1.0647,104.5211,0.1221,1.5512,0.9439,199.4196,64.7111,4.9034,427.5748,10.2718,0.9653,189.1478,64.229,12.4871
56,57,2983.09,2569.81,2206.5112,1244.1552,1.2691,101.6667,0.1229,1.4873,0.9574,199.7442,70.0889,3.3665,393.6668,10.68,0.9738,189.0642,63.9715,12.5235
57,58,2935.94,2586.05,2164.4111,1206.6031,0.9799,100.5189,0.122,1.4786,0.9613,198.6318,63.4,2.2493,396.9681,9.9522,0.9685,188.6797,64.3732,12.4649
58,59,3004.09,2388.74,2223.8,1503.1248,1.1705,110.06,0.1211,1.4441,0.9569,200.0352,63.6,4.2144,404.6055,11.0203,0.971,189.0149,64.229,12.5473
59,60,3020.76,2481.28,2197.3111,969.8910000000001,1.3015,105.3911,0.1201,1.5632,0.9537,199.8442,66.7222,5.2834,415.4686,10.6095,0.9719,189.2346,64.2828,12.4278
60,61,3042.08,2694.31,2206.5112,1244.1552,1.2691,101.6667,0.1229,1.5928,0.9667,191.1495,68.0222,4.173,396.881,9.932,0.9722,181.2176,64.7132,12.5235
61,62,3000.56,2541.92,2220.5445,1192.8757,1.3872,106.2567,0.1218,1.5644,0.9644,191.4789,63.9778,10.2455,410.01300000000003,9.1397,0.9729,182.3391,64.1668,12.5235
62,63,2990.22,2483.66,2206.5112,1244.1552,1.2691,101.6667,0.1229,1.4729,0.9755,191.225,68.0,11.4142,408.2936,9.1557,0.9799,182.0693,63.9715,12.5724
63,64,3016.64,2492.8,2246.4889,1006.9548,1.0997,103.3222,0.1184,1.5068,0.9649,201.893,63.5778,11.4445,425.767,8.8833,0.9692,193.0096,64.0502,12.4247
65,66,2847.81,2461.38,2202.7111,1010.4454,1.0032,104.3067,0.1225,1.4969999999999999,0.9679,195.6413,67.8444,9.972999999999999,409.5656,9.708,0.9741,185.9333,64.2234,12.4659
67,68,2975.64,2508.28,2202.7111,1010.4454,1.0032,104.3067,0.1225,1.5079,0.9663,195.5961,61.6222,17.1168,430.6053,9.118,0.9727,186.47799999999998,64.3328,12.4247
68,69,3066.19,2702.64,2246.4889,1006.9548,1.0997,103.3222,0.1184,1.444,0.9671,194.4585,65.6333,17.2065,428.5948,9.7637,0.9724,184.6948,64.485,12.4659
69,70,2873.35,2565.8,2220.5445,1192.8757,1.3872,106.2567,0.1218,1.5569,0.968,201.6988,68.3444,10.158,405.8365,9.3711,0.9622,192.3277,63.9715,12.5235
70,71,3045.03,2315.76,2246.4889,1006.9548,1.0997,103.3222,0.1184,1.5693,0.9682,201.5153,68.3,12.655,418.8553,9.3955,0.9622,192.1198,64.1596,12.4247
71,72,3090.18,2375.49,2191.6667,1107.433,1.3529,103.4233,0.1206,1.5769,0.9653,195.9164,70.7667,5.9519,408.6125,9.8426,0.9731,186.0737,63.9715,12.5235
72,73,2955.85,2623.1,2191.6667,1107.433,1.3529,103.4233,0.1206,1.4395,0.9556,200.1743,63.3444,7.3859,400.351,10.1235,0.9724,190.0507,64.3732,12.4247
73,74,3006.23,2424.37,2220.5445,1192.8757,1.3872,106.2567,0.1218,1.4829,0.9642,195.4162,65.4667,4.5654,395.9865,10.5025,0.9716,184.9138,64.1968,12.4871
75,76,2999.72,2492.29,2191.6667,1107.433,1.3529,103.4233,0.1206,1.4656,0.9589,199.6948,64.8111,8.3864,402.8367,10.1394,0.9755,189.5554,64.1668,12.4743
76,77,2918.9,2500.41,2183.4333,1582.5646,1.3601,99.0267,0.124,1.4408,0.9511,202.15,64.6444,3.1509,403.2555,9.946,0.9693,192.204,64.235,12.5088
77,78,2926.07,2505.73,2191.6667,1107.433,1.3529,103.4233,0.1206,1.5371,0.9528,200.1845,64.6222,3.4345,427.1292,9.9707,0.9704,190.2138,64.229,12.4247
78,79,3032.89,2500.81,2183.4333,1582.5646,1.3601,99.0267,0.124,1.4615,0.9581,199.5653,60.9222,9.0188,405.2932,10.0926,0.9740000000000001,189.4727,64.4425,12.4743
79,80,2865.31,2531.75,2246.4889,1006.9548,1.0997,103.3222,0.1184,1.5264,0.9613,201.4855,67.5333,12.9025,419.9636,9.4946,0.9555,191.9909,64.2234,12.4247
80,81,2855.8,2537.35,2183.4333,1582.5646,1.3601,99.0267,0.124,1.4912,0.9681,199.2058,64.0,10.6604,397.5674,10.3558,0.9740000000000001,188.85,64.229,12.4659
81,82,2930.22,2417.85,2246.4889,1006.9548,1.0997,103.3222,0.1184,1.5218,0.9584,195.8258,68.5444,5.132000000000001,410.2025,8.8623,0.9732,186.9636,64.7132,12.4659
82,83,2971.99,2502.62,2239.3,1192.7495,1.2479,100.1189,0.1187,1.5824,0.9649,201.9597,62.8333,4.7482,404.6931,9.6496,0.9695,192.31,64.3328,12.4659
83,84,2940.53,2459.87,2202.7111,1010.4454,1.0032,104.3067,0.1225,1.5884,0.9558,194.6922,67.5222,7.5957,427.1576,8.9623,0.9718,185.7299,64.2122,12.5088
84,85,2916.41,2503.59,2246.4889,1006.9548,1.0997,103.3222,0.1184,1.6026,0.9645,199.4803,62.6556,8.0833,397.9443,10.204,0.977,189.2763,64.229,12.5724
85,86,3047.67,2565.03,2199.3334,1017.9399,1.2414,100.5544,0.1214,1.4880000000000002,0.9489,202.287,64.1667,2.908,416.8999,9.9919,0.9690000000000001,192.2951,64.2529,12.4771
86,87,3082.45,2739.19,2199.3334,1017.9399,1.2414,100.5544,0.1214,1.5553,0.9609,202.2491,66.6889,12.4225,405.7057,10.3618,0.9597,191.8873,64.0838,12.4771
87,88,3088.82,2655.37,2183.4556,955.9073,1.1048,102.6978,0.1223,1.3296,0.9537,202.6471,68.9222,4.0536,405.26099999999997,10.1496,0.9775,192.4975,63.9947,12.4882
88,89,3090.42,2531.98,2265.1889,1740.3297,1.4715,100.3889,0.1222,1.3167,0.9511,202.1463,68.2222,4.7155,415.6802,10.17,0.9758,191.9762,63.9947,12.4882
89,90,3031.9,2414.83,2191.9,1936.7653,1.5291,98.1244,0.1254,1.4989,0.9673,199.62900000000002,66.0889,11.7405,427.7605,9.4636,0.9657,190.1654,64.1536,12.4743
90,91,3029.16,2519.68,2265.1889,1740.3297,1.4715,100.3889,0.1222,1.4527,0.9487,201.701,61.2556,4.7764,405.1486,10.1361,0.9747,191.5649,63.8228,12.4967
91,92,3040.63,2547.43,2174.8666,1039.2291,1.0455,103.6,0.1221,1.5867,0.9534,194.3909,67.0222,4.6731,403.3538,10.0685,0.9696,184.3224,64.3976,12.4278
92,93,3039.93,2447.89,2246.4889,1006.9548,1.0997,103.3222,0.1184,1.5414,0.9631,193.9698,60.9111,8.1787,412.8356,9.9865,0.9698,183.9833,64.1871,12.4278
93,94,2922.94,2478.55,2193.1555,1172.6226,1.2752,101.1111,0.1209,1.5024,0.9629,199.6448,65.2,9.4702,404.7365,9.3991,0.971,190.2458,64.1968,12.5698
94,95,3046.33,2545.34,2172.3666,1752.3206,1.3622,97.2633,0.1269,1.5409,0.9612,199.6455,64.8,3.8361,399.7667,10.1871,0.9685,189.4584,64.3976,12.5088
95,96,3081.07,2560.99,2180.1556,1822.5073,1.2579,98.1289,0.1261,1.5048,0.9477,203.2749,65.3,13.4292,408.6389,10.0165,0.9668,193.2584,64.2828,12.4771
96,97,2992.4,2467.07,2191.6667,1107.433,1.3529,103.4233,0.1206,1.4993,0.9549,199.6784,62.7556,7.6212,395.5722,10.1679,0.972,189.5104,64.1668,12.4659
97,98,3049.31,2453.82,2265.1889,1740.3297,1.4715,100.3889,0.1222,1.531,0.9649,198.6113,67.1556,15.4785,422.5091,10.3122,0.9712,188.2991,63.9947,12.4882
98,99,3011.49,2537.9,2183.4556,955.9073,1.1048,102.6978,0.1223,1.6227,0.9649,198.9,61.7444,14.0894,416.6665,10.3165,0.9711,188.5834,63.8228,12.4882
99,100,2913.15,2544.52,2232.5889,1717.275,1.67,104.1067,0.1223,1.5115,0.977,198.4355,60.5,10.179,405.2096,9.1935,0.9806,189.24200000000002,64.2199,12.5724
100,101,3080.26,2526.82,2265.1889,1740.3297,1.4715,100.3889,0.1222,1.5035,0.9648,199.0475,67.8111,14.4227,415.8519,10.2777,0.9712,188.7698,63.9947,12.4882
101,102,3070.5,2439.13,2209.9222,1693.5732,1.3918,99.0811,0.125,1.3609,0.9563,208.2673,64.0,17.8597,422.9505,9.5313,0.9537,198.736,63.8228,12.4882
103,104,2960.65,2436.17,2265.1889,1740.3297,1.4715,100.3889,0.1222,1.5748,0.9646,197.6366,61.7667,15.0233,418.0322,10.3441,0.971,187.2925,63.8228,12.4967
104,105,3000.46,2523.08,2191.9,1936.7653,1.5291,98.1244,0.1254,1.4051,0.956,199.3181,65.7333,12.9074,432.9016,9.4655,0.9735,189.8525,64.235,12.4371
106,107,2831.91,2433.96,2171.9,1811.8799,1.3811,99.22,0.1276,1.3985,0.9561,199.4706,61.6444,13.4953,426.9365,9.4541,0.9736,190.0165,64.2232,12.4867
108,109,3054.78,2479.17,2171.9,1811.8799,1.3811,99.22,0.1276,1.4321,0.9539,199.6391,62.9667,13.0316,425.6525,9.4543,0.9726,190.1848,64.235,12.5698
109,110,3086.88,2395.85,2171.9,1811.8799,1.3811,99.22,0.1276,1.4639,0.9501,202.7572,63.6444,12.7841,416.9489,10.3001,0.96,192.4571,64.2232,12.469000000000001
110,111,2913.42,2437.69,2220.7111,1064.8446,0.9747,103.0567,0.1193,1.5242,0.9689,199.3755,68.3333,4.4125,404.9075,10.7339,0.9731,188.6416,64.2529,12.4743
112,113,2958.13,2485.57,2197.8667,1888.0388,1.1988,100.2811,0.1247,1.5497,0.9640000000000001,199.0418,63.3556,13.6445,406.2111,9.4815,0.9616,189.5602,64.3328,12.4371
113,114,2928.16,2523.21,2210.6111,1184.6481,1.2577,102.9356,0.1201,1.4453,0.9424,198.8602,70.1667,4.7513,406.291,10.2926,0.9517,188.5676,64.2234,12.5698
114,115,2951.2,2418.83,2181.1555,988.7660000000001,0.9454,101.3611,0.1215,1.4634,0.9661,201.8303,64.6556,12.7948,407.8339,10.2747,0.9714,191.5555,64.2949,12.5849
115,116,3002.85,2502.05,2232.5889,1717.275,1.67,104.1067,0.1223,1.4518,0.9659,198.8576,60.2667,5.7237,403.9325,9.4372,0.9735,189.4203,64.0502,12.4827
116,117,3046.34,2307.24,2178.1444,1074.5145,1.226,101.0956,0.1218,1.4443,0.9492,202.9989,62.2111,11.7968,401.278,10.286,0.9596,192.7129,64.2232,12.5698
118,119,2985.11,2496.73,2220.7111,1064.8446,0.9747,103.0567,0.1193,1.474,0.9438,206.4474,63.9444,5.8117,401.2955,10.3131,0.9561,196.1343,64.3328,12.5698
119,120,2943.58,2512.49,2171.9,1811.8799,1.3811,99.22,0.1276,1.4046,0.9663,199.0794,65.7778,11.4788,404.3473,9.1952,0.9733,189.8842,64.7132,12.5698
121,122,2962.27,2495.35,2171.9,1811.8799,1.3811,99.22,0.1276,1.5385,0.9662,199.2753,67.1778,11.7113,399.6304,10.2041,0.9734,189.0711,64.3085,12.4371
122,123,3043.67,2518.21,2222.3222,1678.9669,1.5099,99.6944,0.1248,1.537,0.9563,197.9708,67.5778,9.6926,415.1418,10.786,0.9724,187.1847,64.1596,12.4659
124,125,3032.81,2534.74,2239.4223,1997.3782,1.5397,98.3356,0.1229,1.4974,0.9629,201.6839,65.4778,16.8343,426.7663,9.5521,0.9781,192.1317,63.9947,12.5022
125,126,3020.12,2416.73,2196.6555,1066.1908,1.2188,101.89,0.1211,1.3642,0.9669,197.5256,61.8778,12.6505,415.3988,10.1442,0.9785,187.3814,64.0107,12.3376
126,127,2955.3,2460.08,2191.9,1936.7653,1.5291,98.1244,0.1254,1.4125,0.9636,198.4576,61.8333,12.5444,415.0011,9.1855,0.9716,189.2721,64.0502,12.4247
127,128,3100.44,2690.99,2239.4223,1997.3782,1.5397,98.3356,0.1229,1.5430000000000001,0.9742,200.12099999999998,68.4333,2.8173,415.4615,10.5682,0.9716,189.5527,63.9947,12.5022
128,129,2976.48,2502.96,2232.5889,1717.275,1.67,104.1067,0.1223,1.4306,0.9666,198.2496,66.9333,5.0234,403.6461,9.6527,0.9738,188.5969,64.2529,12.4247
129,130,3056.5,2481.09,2220.4444,1637.2946,1.368,100.5189,0.1231,1.4402,0.9668,202.7691,61.6778,5.2075,408.731,9.6506,0.9636,193.1185,64.3328,12.4659
130,131,3017.5,2634.3,2183.4556,955.9073,1.1048,102.6978,0.1223,1.47,0.9514,210.618,69.3333,5.8718,420.8003,10.3046,0.9563,200.3134,64.2234,12.4659
131,132,3003.13,2714.3,2171.9,1811.8799,1.3811,99.22,0.1276,1.4240000000000002,0.9557,199.1319,67.6333,5.5904,414.1055,9.7109,0.9732,189.421,64.1596,12.469000000000001
132,133,2924.23,2531.34,2196.6555,1066.1908,1.2188,101.89,0.1211,1.3872,0.9513,197.6882,63.2778,12.6325,414.5268,10.4655,0.9604,187.2226,64.1871,12.4247
133,134,3023.86,2432.85,2172.3666,1752.3206,1.3622,97.2633,0.1269,1.4712,0.9669,199.5552,66.0556,10.0725,406.1241,9.3766,0.9741,190.1786,64.1968,12.4743
134,135,3020.46,2477.86,2242.2444,1695.7049,1.4215,99.9944,0.1215,1.4845,0.9661,200.0653,63.9,3.4456,415.2112,9.7499,0.9709,190.3154,64.3328,12.4961
135,136,3035.71,2567.29,2222.3222,1678.9669,1.5099,99.6944,0.1248,1.3325,0.9613,202.5176,63.3778,6.1052,402.1135,9.7481,0.9594,192.7696,64.3328,12.4371
136,137,2917.86,2490.86,2178.1444,1074.5145,1.226,101.0956,0.1218,1.4704,0.9614,197.6029,67.6556,4.111000000000001,397.7479,10.7572,0.97,186.8457,64.2122,12.4371
137,138,3044.46,2497.58,2178.1444,1074.5145,1.226,101.0956,0.1218,1.3714,0.9802,197.7226,63.5778,13.1215,405.3276,9.9339,0.9796,187.7887,64.2232,12.5849
138,139,2959.65,2576.84,2171.9,1811.8799,1.3811,99.22,0.1276,1.4523,0.9602,198.3949,67.3111,3.0397,427.7382,9.712,0.9705,188.6829,64.2949,12.5698
139,140,2936.3,2473.27,2181.1555,988.7660000000001,0.9454,101.3611,0.1215,1.3809,0.9725,197.7873,63.8444,10.7997,405.0256,9.4602,0.9744,188.3271,64.2232,12.5386
140,141,3001.41,2581.07,2224.4778,994.9032,1.2834,101.8267,0.1191,1.5668,0.9624,202.3423,65.9556,12.2894,407.8117,10.0681,0.9607,192.2742,63.8744,12.5816
141,142,3072.73,2587.6,2224.4778,994.9032,1.2834,101.8267,0.1191,1.4491,0.9649,202.4693,65.8333,10.3889,402.1235,10.1625,0.963,192.3068,63.8744,12.5816
142,143,2989.63,2364.73,2196.6555,1066.1908,1.2188,101.89,0.1211,1.4921,0.9534,198.8279,62.9667,12.0343,424.5715,10.4762,0.9703,188.3518,64.2232,12.5698
143,144,3027.1,2374.5,2222.3222,1678.9669,1.5099,99.6944,0.1248,1.4149,0.9533,198.1227,64.0778,11.1383,401.5993,10.1297,0.9717,187.993,64.3732,12.4743
144,145,2950.0,2539.37,2196.6555,1066.1908,1.2188,101.89,0.1211,1.4786,0.9757,197.6278,63.4889,12.4346,399.7357,10.6526,0.9707,186.9752,64.229,12.4743
145,146,3095.5,2394.58,2196.6555,1066.1908,1.2188,101.89,0.1211,1.4785,0.9681,197.5659,62.9889,12.0865,407.8535,10.097999999999999,0.9791,187.4679,64.0107,12.3376
146,147,3049.19,2406.22,2222.3222,1678.9669,1.5099,99.6944,0.1248,1.4599,0.9624,202.3733,68.0444,4.5888,400.9583,9.7663,0.9602,192.607,64.2122,12.4371
147,148,3050.47,2515.3,2242.2444,1695.7049,1.4215,99.9944,0.1215,1.5572,0.9632,202.5378,63.0,5.5943,420.9981,10.5235,0.9588,192.0143,64.0502,12.4247
148,149,2957.73,2581.93,2224.4778,994.9032,1.2834,101.8267,0.1191,1.5637,0.9691,202.688,66.2222,6.0188,415.11699999999996,10.54,0.9733,192.1481,63.9947,12.4216
149,150,2963.35,2537.4,2222.0,1630.1128,1.3555,100.0144,0.1231,1.4416,0.9514,202.8599,65.3222,3.5932,398.9811,10.4996,0.9608,192.3604,64.0838,12.4771
150,151,2983.27,2522.16,2219.8222,1032.5542,1.2795,102.3356,0.1195,1.5708,0.9597,197.3481,65.0444,11.5545,421.3891,10.1964,0.972,187.1517,63.8744,12.4796
151,152,3095.06,2494.55,2180.1556,1822.5073,1.2579,98.1289,0.1261,1.5796,0.9531,199.63,64.0,5.7765,418.4673,10.5284,0.9721,189.1017,64.1363,12.4253
153,154,2939.56,2557.94,2242.2444,1695.7049,1.4215,99.9944,0.1215,1.4313,0.9608,201.9255,67.9778,5.7457,419.8092,9.6793,0.97,192.2461,63.9715,12.4827
154,155,2973.86,2359.01,2196.6555,1066.1908,1.2188,101.89,0.1211,1.4544,0.9554,198.2289,65.8,9.5221,403.3885,10.7177,0.972,187.5112,64.2122,12.469000000000001
155,156,3052.82,2525.33,2186.2667,1088.7359,1.2723,103.5633,0.1212,1.4891,0.96,202.7228,70.2444,2.4472,412.4277,10.7668,0.9740000000000001,191.9561,64.2144,12.5098
156,157,2914.47,2492.14,2181.6111,1083.3937,1.2484,104.1478,0.1216,1.5568,0.9515,202.4492,61.2222,2.9634,414.3435,10.5142,0.9738,191.935,64.1871,12.4371
